Type,Kind,Part,Chapter,Title,Authors,Pages,DOI,Paper_Link,Category
Dataset,Competition,Part V (LNCS 16027),32,ICDAR 2025 Handwritten Notes Understanding Challenge,"Aniket Pal, Sanket Biswas, Alloy Das, Ayush Lodh, Priyanka Banerjee, Soumitri Chattopadhyay, Ajoy Mondal, Dimosthenis Karatzas, Josep Lladós, C. V. Jawahar",553-567,10.1007/978-3-032-04630-7_32,https://doi.org/10.1007/978-3-032-04630-7_32,4_OCR_HTR_Indic_Competitions
Method,Full paper,Part III (LNCS 16025),34,Adapting Vision-Language Models for Hindi OCR,"Shaon Bhattacharyya, Souvik Ghosh, Prantik Deb, Ajoy Mondal, C. V. Jawahar",577-594,10.1007/978-3-032-04624-6_34,https://doi.org/10.1007/978-3-032-04624-6_34,4_OCR_HTR_Indic_Competitions
Method,Full paper,Part III (LNCS 16025),30,VLMAWR: A Method for Manchu Archives Word Recognition Based on Vision-Language Model,"Yu Zhou, Zhengxu Jin, Jianjun He, Baochun Wu, Xinshu Cui, Ruirui Zheng",509-525,10.1007/978-3-032-04624-6_30,https://doi.org/10.1007/978-3-032-04624-6_30,4_OCR_HTR_Indic_Competitions
Method,Full paper,Part IV (LNCS 16026),14,Improving OCR Using Internal Document Redundancy,"Diego Belzarena, Seginus Mowlavi, Aitor Artola, Camilo Mariño, Marina Gardella, Ignacio Ramírez, Antoine Tadros, Roy He, Natalia Bottaioli, Boshra Rajaei, Gregory Randall, Jean-Michel Morel",244-260,10.1007/978-3-032-04627-7_14,https://doi.org/10.1007/978-3-032-04627-7_14,4_OCR_HTR_Indic_Competitions
Method,Full paper,Part I (LNCS 16023),16,TexTAR: Textual Attribute Recognition in Multi-domain and Multi-lingual Document Images,"Rohan Kumar, Jyothi Swaroopa Jinka, Ravi Kiran Sarvadevabhatla",280-296,10.1007/978-3-032-04614-7_16,https://doi.org/10.1007/978-3-032-04614-7_16,4_OCR_HTR_Indic_Competitions
Method,Full paper,Part IV (LNCS 16026),17,Position-Aware Stamp-Like Adversarial Attack for Document Classification,"Qi Dong, Lei Kang, Maura Pintor, Dimosthenis Karatzas",294-310,10.1007/978-3-032-04627-7_17,https://doi.org/10.1007/978-3-032-04627-7_17,5_Doc_Forensics_Privacy
Method,Full paper,Part IV (LNCS 16026),18,DocAI-TL: Structured Document Tampering Localization with DocAI Model,"Youjie Li, Shiqiang Zheng, Guijia Zhang, Qifeng Chen, Changsheng Chen",311-328,10.1007/978-3-032-04627-7_18,https://doi.org/10.1007/978-3-032-04627-7_18,5_Doc_Forensics_Privacy
Method,Full paper,Part IV (LNCS 16026),19,DocForgeNet: Dual Cross-Stream Fusion Network for Robust Forgery Detection in Scanned Documents,"Nauman Riaz, Stefan Agne, Andreas Dengel, Sheraz Ahmed",329-346,10.1007/978-3-032-04627-7_19,https://doi.org/10.1007/978-3-032-04627-7_19,5_Doc_Forensics_Privacy
Method,Full paper,Part IV (LNCS 16026),6,DP-DocLDM: Differentially Private Document Image Generation Using Latent Diffusion Models,"Saifullah Saifullah, Stefan Agne, Andreas Dengel, Sheraz Ahmed",96-119,10.1007/978-3-032-04627-7_6,https://doi.org/10.1007/978-3-032-04627-7_6,5_Doc_Forensics_Privacy
Method,Full paper,Part II (LNCS 16024),5,Selective Forgetting in Document Images Using Enhanced Ensembles,"Muhammad Mashhood, Momina Moetesum, Faisal Shafait, Adnan Ul-Hasan",81-98,10.1007/978-3-032-04617-8_5,https://doi.org/10.1007/978-3-032-04617-8_5,5_Doc_Forensics_Privacy
