Type,Vol,Published,Title,Authors,DOI,Paper_Link,Has_Abstract,Category
Method,179,2026-11,F3-SD: Focal feature fusion with self-distillation on large vision-language models for cross-modal retrieval,"Da Chen, Yangtao Wang, Yanzhao Xie, Xin Tan, Xiaocui Li, Maobin Tang, Meie Fang, Wensheng Zhang",10.1016/j.patcog.2026.113664,https://doi.org/10.1016/j.patcog.2026.113664,NO,3_RAG_MM_Retrieval
Method,180,2026-12,ScalarNet: Learning retrieval-optimized scalar embeddings for efficient image storage and search,"Umali Leonard, Xiaofeng Ding, Mtisunge Tupochere Malemia",10.1016/j.patcog.2026.113799,https://doi.org/10.1016/j.patcog.2026.113799,NO,3_RAG_MM_Retrieval
Method,171,2026-3,RSPH: Robust self-paced hashing for cross-modal retrieval,"Donglin Zhang, Zhikai Hu, Xiao-Jun Wu, Josef Kittler",10.1016/j.patcog.2025.112072,https://doi.org/10.1016/j.patcog.2025.112072,NO,4_CrossModal_Hashing
Method,172,2026-4,Boundary mutual information hashing for cross-modal retrieval,"Qing Ma, Yue Jiang, Cong Bai",10.1016/j.patcog.2025.112658,https://doi.org/10.1016/j.patcog.2025.112658,NO,4_CrossModal_Hashing
Method,176,2026-8,Joint asymmetric discrete hashing for cross-modal retrieval,"Jiaxing Li, Lin Jiang, Zuopeng Yang, Xiaozhao Fang, Shengli Xie, Yong Xu",10.1016/j.patcog.2026.113180,https://doi.org/10.1016/j.patcog.2026.113180,NO,4_CrossModal_Hashing
Method,176,2026-8,Adaptive centroid guided hashing for cross-modal retrieval,"Zhenqiu Shu, Julong Zhang, Zhengtao Yu",10.1016/j.patcog.2026.113186,https://doi.org/10.1016/j.patcog.2026.113186,NO,4_CrossModal_Hashing
Method,176,2026-8,Adversarial supervised contrastive feature learning for cross-modal retrieval,"Xin Shu, Yikang Guo, Shou Gang Ren",10.1016/j.patcog.2026.113256,https://doi.org/10.1016/j.patcog.2026.113256,NO,4_CrossModal_Hashing
Method,178,2026-10,Optimal transport filtering for robust cross-modal retrieval with open-set noisy labels,"Xinliu Liu, Ruitao Pu, Yuan Sun, Yingke Chen, Shudong Huang, Dezhong Peng, Yongsheng Sang, Ziming Wang",10.1016/j.patcog.2026.113377,https://doi.org/10.1016/j.patcog.2026.113377,NO,4_CrossModal_Hashing
Method,180,2026-12,Unified stable and generalizable online hashing for cross-modal retrieval,"Yang Sun, Tianshi Wang, Fengling Li, Guohua Dong, Lei Zhu",10.1016/j.patcog.2026.114053,https://doi.org/10.1016/j.patcog.2026.114053,NO,4_CrossModal_Hashing
Method,180,2026-12,Dual-path decoupling and contrastive hashing for medical cross-modal retrieval,"Yunfei Chen, Can Liang, Renwei Xia, Aiwan Fan, Zhan Yang",10.1016/j.patcog.2026.114179,https://doi.org/10.1016/j.patcog.2026.114179,NO,4_CrossModal_Hashing
Method,180,2026-12,Prior-informed generative hashing under non-ideal semantic manifolds for cross-modal retrieval,"Zequn Wang, Fengling Li, Tianshi Wang, Guohua Dong, Guoli Yang, Lei Zhu",10.1016/j.patcog.2026.114345,https://doi.org/10.1016/j.patcog.2026.114345,NO,4_CrossModal_Hashing
Method,In Press,2026-9,SpikeHSA: Heterogeneous Space-Aligned Spiking Hashing for cross-modal retrieval,"Zhen Zhang, Yaochen Yang, Wenxin Huang, Lei Zhu, Xian Zhong",10.1016/j.patcog.2026.114979,https://doi.org/10.1016/j.patcog.2026.114979,NO,4_CrossModal_Hashing
