Type,Sub-category,Vol,Title,Authors,Pages,DOI,Paper_Link,Has_Abstract,Category
Method,-,V.2 (Cycle 2),UniDocVLM: Enhancing Visual Reasoning and Document Understanding for VLM via Reinforcement Learning,"Zongsheng Cao, Anran Liu, Jun Xie, Lang Chen, Feng Chen, Zigan Wang",275-284,10.1145/3770855.3817934,https://doi.org/10.1145/3770855.3817934,NO,1_Core_VDU_DocRAG
Method,-,V.2 (Cycle 2),Diagnosing Evidence Utilization in Multimodal Document Question Answering,"Debolena Basak, Digbalay Bose, Koustava Goswami, Maunendra Sankar Desarkar",138-149,10.1145/3770855.3817956,https://doi.org/10.1145/3770855.3817956,yes,1_Core_VDU_DocRAG
Method,-,V.2 (Cycle 2),NumCache: KV Cache Compression and Retrieval for Financial Document QA,"Eftychia Makri, Peiwen Li, Yidong Jiang, Junrong Chen, Jialin Chen, Ali Maatouk, Leandros Tassiulas, Eliot Brenner, Bing Xiang, Rex Ying",3655-3666,10.1145/3770855.3818131,https://doi.org/10.1145/3770855.3818131,yes,1_Core_VDU_DocRAG
Method,-,V.2 (Cycle 2),End-to-End Structured Information Extraction from Mixed-Script Documents in Open Compositional Symbol Systems,"Zehan Li, Fu Zhang, Zhijun Liu, Jingwei Cheng",2921-2932,10.1145/3770855.3817959,https://doi.org/10.1145/3770855.3817959,NO,1_Core_VDU_DocRAG
Method,-,V.2 (Cycle 2),Can Structural Cues Save LLMs? Evaluating Language Models in Massive Document Streams,"Yukyung Lee, Yebin Lim, Woojun Jung, Wonjun Choi, Susik Yoon",2509-2520,10.1145/3770855.3817994,https://doi.org/10.1145/3770855.3817994,NO,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),SciChart: Visual Question Answering and Reasoning for Scientific Spectral Chart,"Tan Yue, Rui Mao, Xuzhao Shi, Zilong Song, Siyuan Xu, Yu Yan, Ziyuan Liao, Zonghai Hu, Dongyan Zhao",12751-12760,10.1145/3770855.3818985,https://doi.org/10.1145/3770855.3818985,yes,2_Chart_Slide_Table
Dataset,-,V.2 (Cycle 2),DECKBench: Benchmarking Multi-Agent Frameworks for Academic Slide Generation and Editing,"Daesik Jang, Morgan Lindsay Heisler, Linzi Xing, Yifei Li, Edward Wang, Ying Xiong, Yong Zhang, Zhenan Fan",9159-9170,10.1145/3770855.3817525,https://doi.org/10.1145/3770855.3817525,yes,2_Chart_Slide_Table
Dataset,-,V.1 (Cycle 1),Mixture-of-RAG: Integrating Text and Tables with Large Language Models,"Chi Zhang, Qiyang Chen, Mengqi Zhang",1880-1891,10.1145/3770854.3780171,https://doi.org/10.1145/3770854.3780171,yes,2_Chart_Slide_Table
Dataset,-,V.2 (Cycle 2),MM-BRIGHT: A Multi-Task Multimodal Benchmark for Reasoning-Intensive Retrieval,"Abdelrahman Abdallah, Mohamed Darwish Mounis, Mahmoud Abdalla, Mahmoud SalahEldin Kasem, Mostafa Farouk Senussi, Mohamed Mahmoud, Mohammed Ali, Adam Jatowt, Hyun Soo Kang",8604-8612,10.1145/3770855.3817457,https://doi.org/10.1145/3770855.3817457,yes,3_MM_Retrieval_RAG
Dataset,-,V.2 (Cycle 2),MKG-RAG-Bench: Benchmarking Retrieval in Multimodal Knowledge Graph–Augmented Generation,"Xiaochen Wang, Bao Hoang, Han Liu, Ting Wang, Fenglong Ma",9951-9962,10.1145/3770855.3817570,https://doi.org/10.1145/3770855.3817570,yes,3_MM_Retrieval_RAG
Method,-,V.2 (Cycle 2),UniRank: End-to-End Domain-Specific Reranking of Hybrid Text-Image Candidates,"Yupei Yang, Lin Yang, Wanxi Deng, Lin Qu, Shikui Tu, Lei Xu",6092-6103,10.1145/3770855.3817796,https://doi.org/10.1145/3770855.3817796,yes,3_MM_Retrieval_RAG
Method,-,V.2 (Cycle 2),Retrv-MoE: Scaling Unified Multimodal Retrieval with Sparse Mixture-of-Experts,"Tongxu Lin, Jiayin Xiao",3106-3115,10.1145/3770855.3817958,https://doi.org/10.1145/3770855.3817958,NO,3_MM_Retrieval_RAG
Method,-,V.1 (Cycle 1),VideoRAG: Retrieval-Augmented Generation with Extreme Long-Context Videos,"Xubin Ren, Lingrui Xu, Long Xia, Shuaiqiang Wang, Dawei Yin, Chao Huang",2390-2401,10.1145/3770854.3783944,https://doi.org/10.1145/3770854.3783944,yes,3_MM_Retrieval_RAG
Method,-,V.1 (Cycle 1),Medusa: Cross-Modal Transferable Adversarial Attacks on Multimodal Medical Retrieval-Augmented Generation,"Yingjia Shang, Yi Liu, Huimin Wang, Furong Li, Wenfang Sun, Chengyu Wu, Yefeng Zheng",1275-1286,10.1145/3770854.3780277,https://doi.org/10.1145/3770854.3780277,yes,3_MM_Retrieval_RAG
Method,-,V.2 (Cycle 2),Cross-modal Fusion Transformer for Integrating Retrieved Knowledge into Video Caption Generation,"Karina Abubakirova, Waseem Ullah, Latif U. Khan, Mohsen Guizani",1-9,10.1145/3770855.3818170,https://doi.org/10.1145/3770855.3818170,yes,3_MM_Retrieval_RAG
Method,-,V.2 (Cycle 2),DeepTaxon: An Interpretable Retrieval-Augmented Multimodal Framework for Unified Species Identification and Discovery,"Jiawei Wang, Ming Lei, Yaning Yang, Xinyan Lin, Yuquan Le, Qiwei Ma, Zhiwei Xu, Zheqi Lv, Yuchen Ang, Zhe Quan, Tat-Seng Chua",12231-12242,10.1145/3770855.3818997,https://doi.org/10.1145/3770855.3818997,NO,3_MM_Retrieval_RAG
Dataset,Paper,V.2 (Cycle 2),Benchmarking Knowledge-Extraction Attack and Defense on Retrieval-Augmented Generation (RAG),"Zhisheng Qi, Utkarsh Sahu, Li Ma, Haoyu Han, Ryan Rossi, Franck Dernoncourt, Mahantesh Halappanavar, Nesreen Ahmed, Yushun Dong, Yue Zhao, Yu Zhang, Yu Wang",9718-9729,10.1145/3770855.3817524,https://doi.org/10.1145/3770855.3817524,yes,4_Text_Graph_RAG
Dataset,Paper,V.2 (Cycle 2),CTIConnect: A Benchmark for Retrieval-Augmented LLMs over Heterogeneous Cyber Threat Intelligence,"Yutong Cheng, Yang Liu, Changze Li, Dawn Song, Peng Gao",8741-8752,10.1145/3770855.3817527,https://doi.org/10.1145/3770855.3817527,yes,4_Text_Graph_RAG
Dataset,Paper,V.2 (Cycle 2),How Much Reasoning Do Retrieval-Augmented Models Add beyond LLMs? A Benchmarking Framework for Multi-Hop Inference over Hybrid Knowledge,"Junhong Lin, Bing Zhang, Song Wang, Ziyan Liu, Dan Gutfreund, Julian Shun, Yada Zhu",9403-9414,10.1145/3770855.3817481,https://doi.org/10.1145/3770855.3817481,yes,4_Text_Graph_RAG
Dataset,Paper,V.2 (Cycle 2),Uncovering Competing Poisoning Attacks in Retrieval-Augmented Generation,"Liuji Chen, Xiaofang Yang, Yuanzhuo Lu, Jinghao Zhang, Xin Sun, Qiang Liu, Shu Wu, Jing Dong, Liang Wang",414-424,10.1145/3770855.3818119,https://doi.org/10.1145/3770855.3818119,yes,4_Text_Graph_RAG
Dataset,Paper,V.2 (Cycle 2),RAG vs. GraphRAG: A Systematic Evaluation and Key Insights,"Haoyu Han, Li Ma, Yu Wang, Harry Shomer, Kai Guo, Yongjia Lei, Zhisheng Qi, Zhigang Hua, Bo Long, Hui Liu, Charu Aggarwal, Jiliang Tang",8966-8977,10.1145/3770855.3817575,https://doi.org/10.1145/3770855.3817575,yes,4_Text_Graph_RAG
