Type,Track,Decision,Title,Authors,Topic,Paper_Link,PDF_Link,Category
Method,Main,Accept (regular),Failure is Feedback: History-Aware Backtracking for Agentic Traversal in Multimodal Graphs,"Joohyung Yun, Doyup Lee, Wook-Shin Han",Applications->Everything Else,https://openreview.net/forum?id=z0DFeWsI3f,https://openreview.net/pdf?id=z0DFeWsI3f,5_Multimodal_RAG
Dataset,Main,Accept (regular),RADAR: Defending RAG Dynamically against Retrieval Corruption,"Ziyuan Chen, Yueming Lyu, Yi Liu, Weixiang Han, JING DONG, Caifeng Shan, Tieniu Tan",Social Aspects->Security,https://openreview.net/forum?id=fT3laNA1AO,https://openreview.net/pdf?id=fT3laNA1AO,6_Text_Graph_RAG
Dataset,Main,Accept (regular),With Argus Eyes: Assessing Retrieval Gaps via Uncertainty Scoring to Detect and Remedy Retrieval Blind Spots,"Zeinab Taghavi, Ali Modarressi, Hinrich Schuetze, Andreas Marfurt",Deep Learning->Robustness,https://openreview.net/forum?id=wGxd4FKrU1,https://openreview.net/pdf?id=wGxd4FKrU1,6_Text_Graph_RAG
Dataset,Main,Accept (regular),Stream RAG: Instant and Accurate Spoken Dialogue Systems with Streaming Tool Usage,"Siddhant Arora, Haidar Khan, Kai Sun, Xin Dong, Sajal Choudhary, Seungwhan Moon, Xinyuan Zhang, Adithya Sagar, Surya Appini, Kaushik Patnaik, Sanat Sharma, Shinji Watanabe, Anuj Kumar, Ahmed A Aly, Yue Liu, Florian Metze, Zhaojiang Lin","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=NMMmwSbzRx,https://openreview.net/pdf?id=NMMmwSbzRx,6_Text_Graph_RAG
Dataset,Main,Accept (regular),Towards Whole-corpus Reconstruction of Heterogeneous RAG Knowledge Bases,"Peiru Yang, Yi Luo, Zhenfeng Gao, Tong Ju, Haoran Zheng, Linjie Zhu, Hongke Fu, Qing Li, Shangguang Wang, Tao Qi",Social Aspects->Privacy,https://openreview.net/forum?id=x61zDYEZ91,https://openreview.net/pdf?id=x61zDYEZ91,6_Text_Graph_RAG
Method,Main,Accept (regular),ExpWeaver: LLM Agents Learn from Experience via Latent RAG,"Tao Feng, Tianyang Luo, Jingjun Xu, Zhigang Hua, Yan Xie, Shuang Yang, Ge Liu, Jiaxuan You",Deep Learning->Large Language Models,https://openreview.net/forum?id=4ARH5kZrgz,https://openreview.net/pdf?id=4ARH5kZrgz,6_Text_Graph_RAG
Method,Main,Accept (regular),From Extraction to Deduction: Resolving Functional Misalignment in RAG via a Collaborative Critic-Reasoner Framework,"Yufei Chen, Yao Wang, Haibin Zhang, Hualin zhou, Tao Gu",Deep Learning->Large Language Models,https://openreview.net/forum?id=4BwA2qDAPy,https://openreview.net/pdf?id=4BwA2qDAPy,6_Text_Graph_RAG
Method,Main,Accept (spotlight),TG-RAG: A Retrieval-Augmented Framework for Reasoning Guidance in Specialized Domains,"Liang Su, Mingyang Zhang, Yun Xiong, Tengfei LIU, Siwei Zhang, Xi Chen, Li Sun",,https://openreview.net/forum?id=W34UyCRQel,https://openreview.net/pdf?id=W34UyCRQel,6_Text_Graph_RAG
Method,Main,Accept (regular),Self-Augmenting Retrieval for Diffusion Language Models,"Paul Jünger, Justin Lovelace, Linxi Zhao, Dongyoung Go, Kilian Weinberger",Deep Learning->Large Language Models,https://openreview.net/forum?id=uiE6BIx2vC,https://openreview.net/pdf?id=uiE6BIx2vC,6_Text_Graph_RAG
Method,Main,Accept (regular),Through the Stealth Lens: Attention-Aware Defenses Against Poisoning in RAG,"Sarthak Choudhary, Nils Palumbo, Ashish Hooda, Krishnamurthy Dvijotham, Somesh Jha",Deep Learning->Robustness,https://openreview.net/forum?id=sSOxhXwzUi,https://openreview.net/pdf?id=sSOxhXwzUi,6_Text_Graph_RAG
