Type,Track,Sub-category,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
Method,Journal track (IJDAR),Document parsing / IE / OCR with VLMs,PILOT: A Promptable Interleaved Layout-aware OCR Transformer,"Laziz Hamdi, Amine Tamasna, Pascal Boisson, Thierry Paquet",,,,https://scholar.google.com/scholar?q=%22PILOT%3A+A+Promptable+Interleaved+Layout-aware+OCR+Transformer%22,https://arxiv.org/search/?searchtype=title&query=PILOT%3A+A+Promptable+Interleaved+Layout-aware+OCR+Transformer,2025-561
Method,Journal track (IJDAR),Document parsing / IE / OCR with VLMs,"TableSeq: Unified Generation of Structure, Content, and Layout","Laziz Hamdi, Amine Tamasna, Pascal Boisson, Thierry Paquet",,,,https://scholar.google.com/scholar?q=%22TableSeq%3A+Unified+Generation+of+Structure%2C+Content%2C+and+Layout%22,https://arxiv.org/search/?searchtype=title&query=TableSeq%3A+Unified+Generation+of+Structure%2C+Content%2C+and+Layout,2025-565
Method,Journal track (IJDAR),Document parsing / IE / OCR with VLMs,Unsupervised Document and Template Clustering using Multimodal Embeddings,"Phillipe R. Sampaio, Helene Maxicci",,,,https://scholar.google.com/scholar?q=%22Unsupervised+Document+and+Template+Clustering+using+Multimodal+Embeddings%22,https://arxiv.org/search/?searchtype=title&query=Unsupervised+Document+and+Template+Clustering+using+Multimodal+Embeddings,2025-479
Method,Conference,Layout analysis,Bounding Box Label Propagation for Re-Annotation of Document Layout Analysis Datasets,"Nick Jochum, Tobias Alt-Veit, Christian Schön, Alexander Lück, René Schuster, Didier Stricker",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_1,https://scholar.google.com/scholar?q=%22Bounding+Box+Label+Propagation+for+Re-Annotation+of+Document+Layout+Analysis+Datasets%22,https://arxiv.org/search/?searchtype=title&query=Bounding+Box+Label+Propagation+for+Re-Annotation+of+Document+Layout+Analysis+Datasets,258
Method,Conference,Layout analysis,Automatic Layout Detection in Historical Civil Records Using Deep Object Detection,"Wissam AlKendi, Franck Gechter, Laurent Heyberger, Christophe Guyeux",,,,https://scholar.google.com/scholar?q=%22Automatic+Layout+Detection+in+Historical+Civil+Records+Using+Deep+Object+Detection%22,https://arxiv.org/search/?searchtype=title&query=Automatic+Layout+Detection+in+Historical+Civil+Records+Using+Deep+Object+Detection,157
Method,Conference,Layout analysis,Complex Layout Classification in the Wild: A Low-Resource Approach with Layout-Preserving Augmentations,"Sharva Gogawale, Iddo Hakim, Gal Grudka, Mohammad Suliman, Omer Ventura, Daria Shapira, Berat Barakat, Nachum Dershowitz",,,,https://scholar.google.com/scholar?q=%22Complex+Layout+Classification+in+the+Wild%3A+A+Low-Resource+Approach+with+Layout-Preserving+Augmentations%22,https://arxiv.org/search/?searchtype=title&query=Complex+Layout+Classification+in+the+Wild%3A+A+Low-Resource+Approach+with+Layout-Preserving+Augmentations,183
Method,Conference,Layout analysis,Towards Khmer Scene Document Layout Detection,"Marry Kong, Rina Buoy, Sovisal Chenda, Nguonly Taing, Masakazu Iwamura, Koichi Kise",,,,https://scholar.google.com/scholar?q=%22Towards+Khmer+Scene+Document+Layout+Detection%22,https://arxiv.org/search/?searchtype=title&query=Towards+Khmer+Scene+Document+Layout+Detection,227
Method,Conference,Layout analysis,DocCenter: Center and Corner Aware Representation for Robust Multi-Document Localization,"Mengyuan Zhao, Kun Xu, Xin Cheng, Ting Li, Qiuman Tan, Xinyao Zhang",,,,https://scholar.google.com/scholar?q=%22DocCenter%3A+Center+and+Corner+Aware+Representation+for+Robust+Multi-Document+Localization%22,https://arxiv.org/search/?searchtype=title&query=DocCenter%3A+Center+and+Corner+Aware+Representation+for+Robust+Multi-Document+Localization,247
Dataset,Conference,Table / Chart / Diagram / Figure,Multilingual Table Recognition: A Benchmark Dataset and A Local–Global Hybrid Model,"Nam Tuan Ly, Atsuhiro Takasu, Masaki Nakagawa",,,,https://scholar.google.com/scholar?q=%22Multilingual+Table+Recognition%3A+A+Benchmark+Dataset+and+A+Local%E2%80%93Global+Hybrid+Model%22,https://arxiv.org/search/?searchtype=title&query=Multilingual+Table+Recognition%3A+A+Benchmark+Dataset+and+A+Local%E2%80%93Global+Hybrid+Model,393
Dataset,Conference,Table / Chart / Diagram / Figure,DeChart: A Benchmark and Text-Enhanced Chart-to-Table Conversion Method with Multimodal LLMs,"Chen-Yu Xie, Xiao-Hui Li, Fei Yin, Cheng-Lin Liu",,,,https://scholar.google.com/scholar?q=%22DeChart%3A+A+Benchmark+and+Text-Enhanced+Chart-to-Table+Conversion+Method+with+Multimodal+LLMs%22,https://arxiv.org/search/?searchtype=title&query=DeChart%3A+A+Benchmark+and+Text-Enhanced+Chart-to-Table+Conversion+Method+with+Multimodal+LLMs,170
