Type,Sub-category,Decision,Title,Authors,Primary_Area,Paper_Link,PDF_Link,Category
Method,-,Accept (Poster),GRO-RAG: Gradient-aware Re-rank Optimization for Multi-source Retrieval-Augmented Generation,"Siyuan Chen, Hang Ding, Xiaoyu Kang, Jiechao Gao","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=5zdubHFutd,https://openreview.net/pdf?id=5zdubHFutd,3_RAG
Method,-,Accept (Poster),MergePRAG: Orthogonal Merging of Passage-experts for Multi-hop Parametric RAG,"Xuebing Liu, Shanbao Qiao, Roseline Nyange, Dongwook Min, Hyun Kim, Seung-Hoon Na",Deep Learning->Generative Models and Autoencoders,https://openreview.net/forum?id=FSL1J2gmJV,https://openreview.net/pdf?id=FSL1J2gmJV,3_RAG
Method,-,Accept (Poster),HiPRAG: Hierarchical Process Rewards for Efficient Agentic Retrieval Augmented Generation,"Peilin Wu, Mian Zhang, Kun Wan, Wentian Zhao, Kaiyu He, Xinya Du, Zhiyu Chen","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=Gt4v9WBPzm,https://openreview.net/pdf?id=Gt4v9WBPzm,3_RAG
Method,-,Accept (Poster),OSCAR: Online Soft Compression for RAG,"Maxime Louis, Thibault Formal, Hervé Déjean, Stéphane Clinchant","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=ideKAUWvFE,https://openreview.net/pdf?id=ideKAUWvFE,3_RAG
Dataset,-,Accept (Poster),MathNet: A Global Multimodal Benchmark for Mathematical Reasoning and Retrieval,"Shaden Alshammari, Kevin Wen, Abrar Zainal, Mark Hamilton, Navid Safaei, Albarakati, William Freeman, Antonio Torralba",Deep Learning->Everything Else,https://openreview.net/forum?id=zPvdG1Va5Q,https://openreview.net/pdf?id=zPvdG1Va5Q,4_Retrieval_Models
Method,-,Accept (Poster),Retro*: Optimizing LLMs for Reasoning-Intensive Document Retrieval,"Junwei Lan, Jianlyu Chen, Zheng Liu, Chaofan Li, Siqi Bao, Defu Lian",Applications->Everything Else,https://openreview.net/forum?id=0WGl8PNMSA,https://openreview.net/pdf?id=0WGl8PNMSA,4_Retrieval_Models
Method,-,Accept (Poster),Rethinking Reasoning in Document Ranking: Why Chain-of-Thought Falls Short,"Xuan Lu, Haohang Huang, Rui Meng, Yaohui Jin, Wenjun Zeng, Xiaoyu Shen","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=txmqENuRcc,https://openreview.net/pdf?id=txmqENuRcc,4_Retrieval_Models
Method,-,Accept (Oral),Revela: Dense Retriever Learning via Language Modeling,"Fengyu Cai, Tong Chen, Xinran Zhao, Sihao Chen, Hongming Zhang, Sherry Wu, Iryna Gurevych, Heinz Koeppl",General Machine Learning->Representation Learning,https://openreview.net/forum?id=e7pAjJZJWb,https://openreview.net/pdf?id=e7pAjJZJWb,4_Retrieval_Models
Method,-,Accept (Poster),On the Theoretical Limitations of Embedding-Based Retrieval,"Orion Weller, Michael Boratko, Iftekhar Naim, Jinhyuk Lee",General Machine Learning->Representation Learning,https://openreview.net/forum?id=k9CzIvzfaA,https://openreview.net/pdf?id=k9CzIvzfaA,4_Retrieval_Models
Method,-,Accept (Poster),LightRetriever: A LLM-based Text Retrieval Architecture with Extremely Faster Query Inference,"Guangyuan Ma, Yongliang Ma, Xuanrui Gou, Zhenpeng Su, Ming Zhou, Songlin Hu",General Machine Learning->Representation Learning,https://openreview.net/forum?id=vNEY32I8Y8,https://openreview.net/pdf?id=vNEY32I8Y8,4_Retrieval_Models
Method,-,Accept (Poster),ZeroGR: A Generalizable and Scalable Framework for Zero-Shot Generative Retrieval,"Weiwei Sun, Keyi Kong, xinyu ma, Shuaiqiang Wang, Dawei Yin, Maarten de Rijke, Zhaochun Ren, Yiming Yang",,https://openreview.net/forum?id=RBoAwiQl5L,https://openreview.net/pdf?id=RBoAwiQl5L,4_Retrieval_Models
Method,-,Accept (Poster),MILCO: Learned Sparse Retrieval Across Languages via a Multilingual Connector,"Thong Nguyen, Yibin Lei, Dylan JH Ju, Eugene Yang, Andrew Yates",General Machine Learning->Representation Learning,https://openreview.net/forum?id=Z6dVYEqurT,https://openreview.net/pdf?id=Z6dVYEqurT,4_Retrieval_Models
Method,-,Accept (Poster),Learning Retrieval Models with Sparse Autoencoders,"Thibault Formal, Maxime Louis, Hervé Déjean, Stéphane Clinchant","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=TuFjICawSc,https://openreview.net/pdf?id=TuFjICawSc,4_Retrieval_Models
Method,-,Accept (Poster),Beyond Sequential Reranking: Reranker-Guided Search Improves Reasoning Intensive Retrieval,"Haike Xu, Tong Chen",Optimization->Everything Else,https://openreview.net/forum?id=Fjw3OqdjTj,https://openreview.net/pdf?id=Fjw3OqdjTj,4_Retrieval_Models
Method,-,Accept (Poster),Trade-offs in LLM Compute for Reasoning-Intensive Information Retrieval,"Sreeja Apparaju, Nilesh Gupta",,https://openreview.net/forum?id=3TplyuzvBd,https://openreview.net/pdf?id=3TplyuzvBd,4_Retrieval_Models
Method,-,Accept (Poster),The 99% Success Paradox: When Near-Perfect Retrieval Equals Random Selection,"Vyzantinos Repantis, Harshvardhan Singh, Tony Joseph, Cien Zhang, Akash Vishwakarma, Svetlana Karslioglu, Michael Thot, Ameya Gawde",Optimization->Everything Else,https://openreview.net/forum?id=uOWq2EL8UM,https://openreview.net/pdf?id=uOWq2EL8UM,4_Retrieval_Models
Method,-,Accept (Poster),Tools are under-documented: Simple Document Expansion Boosts Tool Retrieval,"Xuan Lu, Haohang Huang, Rui Meng, Yaohui Jin, Wenjun Zeng, Xiaoyu Shen","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=g9D9MgG7iW,https://openreview.net/pdf?id=g9D9MgG7iW,4_Retrieval_Models
Method,-,Accept (Poster),Seeing Through Words: Controlling Visual Retrieval Quality with Language Models,"Jianglin Lu, Simon Jenni, Kushal Kafle, Jing Shi, Handong Zhao, Yun Fu",Computer Vision->Everything Else,https://openreview.net/forum?id=yOEmEXmbV8,https://openreview.net/pdf?id=yOEmEXmbV8,4_Retrieval_Models
Method,-,Accept (Poster),BrowseNet: Graph-Based Associative Memory for Contextual Information Retrieval,"PAVAN KUMAR SANTHANA KRISHNAN, Kiran Kumar Nakka, C Reddy, Divyateja Pasupuleti, Prakhar Agarwal, Harpinder Singh, Anshu Avinash, Nirav Bhatt","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=2q5CugVPoK,https://openreview.net/pdf?id=2q5CugVPoK,4_Retrieval_Models
Method,-,Accept (Poster),Fathom-DeepResearch: Unlocking Long Horizon Information Retrieval and Synthesis for SLMs,"Shreyas Singh, Kunal Singh, Pradeep Moturi",Reinforcement Learning->Deep RL,https://openreview.net/forum?id=FS1KoskTtD,https://openreview.net/pdf?id=FS1KoskTtD,4_Retrieval_Models
Method,-,Accept (Poster),IVC-Prune: Revealing the Implicit Visual Coordinates in LVLMs for Vision Token Pruning,"Zhichao Sun, Yidong Ma, Gang Liu, Yibo Chen, Xu Tang, Yao Hu, Yongchao Xu",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=46LbXtFgBm,https://openreview.net/pdf?id=46LbXtFgBm,5_VisualToken_Efficiency
Method,-,Accept (Poster),AgilePruner: An Empirical Study of Attention and Diversity for Adaptive Visual Token Pruning in Large Vision-Language Models,"Changwoo Baek, Jouwon Song, Sohyeon Kim, Kyeongbo Kong",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=2NLkhPex1M,https://openreview.net/pdf?id=2NLkhPex1M,5_VisualToken_Efficiency
Method,-,Accept (Poster),PPE: Positional Preservation Embedding for Token Compression in Multimodal Large Language Models,"Mouxiao Huang, Borui Jiang, Dehua Zheng, Hailin Hu, Kai Han, Xinghao Chen",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=OV0AoK7QEr,https://openreview.net/pdf?id=OV0AoK7QEr,5_VisualToken_Efficiency
Method,-,Accept (Poster),Nüwa: Mending the Spatial Integrity Torn by VLM Token Pruning,"Yihong Huang, Fei Ma, Yihua Shao, Jingcai Guo, Zitong YU, Laizhong Cui, Qi Tian",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=C9yclwdquU,https://openreview.net/pdf?id=C9yclwdquU,5_VisualToken_Efficiency
Method,-,Accept (Poster),VisionTrim: Unified Vision Token Compression for Training-Free MLLM Acceleration,"Hanxun Yu, Wentong Li, Xuan Qu, Song Wang, Junbo Chen, Jianke Zhu",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=57IXIg6nZ0,https://openreview.net/pdf?id=57IXIg6nZ0,5_VisualToken_Efficiency
