Type,Sub-category,Decision,Title,Authors,Paper_Link,PDF_Link,ECCV_Page,Category
Method,-,Accept Poster,RAGrasp: A Retrieval-Augmented Framework with Diversity-Aware Modeling for Dexterous Grasp Generation,"Zhuo Yang, Sanping Zhou, Sen Wang, Jingyi Tian, lijiayi lijiayi, Gang Hua, Le Wang",https://eccv.ecva.net/virtual/2026/poster/3488,,https://eccv.ecva.net/virtual/2026/poster/3488,5_MM_RAG_Retrieval_other
Method,-,Accept Poster,ReMoMask: Retrieval-Augmented Masked Motion Generation,"Zhengdao Li, siheng wang, Zeyu Zhang, Hao Tang",https://eccv.ecva.net/virtual/2026/poster/3469,,https://eccv.ecva.net/virtual/2026/poster/3469,5_MM_RAG_Retrieval_other
Method,-,Accept Poster,PhysRAG: Enhancing Physics-Awareness in Video Generation via Retrieval-Augmented Generation,"Kexu Cheng, Zicheng Liu, Mingju Gao, Chunhe Song, Hao Tang",https://eccv.ecva.net/virtual/2026/poster/5129,,https://eccv.ecva.net/virtual/2026/poster/5129,5_MM_RAG_Retrieval_other
Method,-,Accept Poster,RAG-3DSG: Enhancing 3D Scene Graphs with Re-Shot Guided Retrieval-Augmented Generation,"Yue Chang, Rufeng Chen, Zhaofan ZHANG, Yi Chen, Yifan Tian, Sihong Xie",https://eccv.ecva.net/virtual/2026/poster/4850,,https://eccv.ecva.net/virtual/2026/poster/4850,5_MM_RAG_Retrieval_other
Method,-,Accept Poster,AutoV: Loss-Oriented Ranking for Visual Prompt Retrieval in LVLMs,"Yuan Zhang, Chun-Kai Fan, Sicheng Yu, Junwen Pan, Tao Huang, Ming Lu, Kuan Cheng, Qi She, Shanghang Zhang",https://eccv.ecva.net/virtual/2026/poster/3550,,https://eccv.ecva.net/virtual/2026/poster/3550,5_MM_RAG_Retrieval_other
Method,-,Accept Poster,OCTOPUS: Multi‑Agentic Universal Compositional Visual Retrieval,"Zhangtao Cheng, Bozhu Zheng, Ting Zhong, Fan Zhou",https://eccv.ecva.net/virtual/2026/poster/5802,,https://eccv.ecva.net/virtual/2026/poster/5802,5_MM_RAG_Retrieval_other
Method,-,Accept Poster,Adapting MLLMs for Nuanced Video Retrieval,"Piyush Nitin Bagad, Andrew Zisserman",https://eccv.ecva.net/virtual/2026/poster/4071,,https://eccv.ecva.net/virtual/2026/poster/4071,5_MM_RAG_Retrieval_other
Dataset,-,Accept Poster,Guiding the Blind: Generalizing GUI Agents to Unseen Websites via Multimodal Tutorials,"Xinwei Long, Kai Tian, Peng Xu, Weibo Gao, Yihua Shao, Guoli Jia, Haozhe Geng, Sa Yang, Jingxuan Li, Huayong Hu, Kaiyan Zhang, Jiaqi Wang, Bowen Zhou",https://eccv.ecva.net/virtual/2026/poster/4245,,https://eccv.ecva.net/virtual/2026/poster/4245,6_GUI_adjacent
Dataset,-,Accept Poster,MedSPOT: A Workflow-Aware Sequential Grounding Benchmark for Clinical GUI,"Rozain Shakeel, Abdul Ali, Muneeb Ganie, Tausifa Jan Saleem, Tajamul Ashraf",https://eccv.ecva.net/virtual/2026/poster/5938,,https://eccv.ecva.net/virtual/2026/poster/5938,6_GUI_adjacent
Dataset,-,Accept Poster,Coding with Eyes: Visual Feedback Unlocks Reliable GUI Code Generating and Debugging,"Zhilin Liu, Ye Huang, TingXie TingXie, Ruizhi Zhang, Wen Li, Lixin Duan",https://eccv.ecva.net/virtual/2026/poster/5263,,https://eccv.ecva.net/virtual/2026/poster/5263,6_GUI_adjacent
Dataset,-,Accept Poster,DualTAP: A Dual-Task Adversarial Protector for Mobile MLLM Agents,"Fuyao Zhang, Jiaming Zhang, CHE WANG, Xiongtao Sun, Yurong Hao, Guowei Guan, Wenjie Li, Longtao Huang, Wei Lim",https://eccv.ecva.net/virtual/2026/poster/4393,,https://eccv.ecva.net/virtual/2026/poster/4393,6_GUI_adjacent
Dataset,-,Accept Poster,Reward Modeling for Computer-Using Agent from Video Execution,"Linxin Song, Jieyu Zhang, Huanxin Sheng, Taiwei Shi, Rahul Gupta, Yang Liu, Ranjay Krishna, Jian Kang, Jieyu Zhao",https://eccv.ecva.net/virtual/2026/poster/5001,,https://eccv.ecva.net/virtual/2026/poster/5001,6_GUI_adjacent
Dataset,-,Accept Poster,WebRetriever: A Large-Scale Comprehensive Benchmark for Efficient Web Agent Evaluation,"Wei Dong, Tianyu Fu, Zhe Yu, Hanning Wang, Anyang Su, Zhizhou Fang, Yuyang Chen, Shuo Wang, Minghui Wu, Ping Jiang, Zhen Lei, Chenxu Zhao",https://eccv.ecva.net/virtual/2026/poster/5413,,https://eccv.ecva.net/virtual/2026/poster/5413,6_GUI_adjacent
Method,-,Accept Poster,GUI-AIMA: Aligning Intrinsic Multimodal Attention with a Context Anchor for GUI Grounding,"Shijie Zhou, Viet Lai, Hao Tan, Jihyung Kil, Wanrong Zhu, Changyou Chen, Ruiyi Zhang",https://eccv.ecva.net/virtual/2026/poster/5780,,https://eccv.ecva.net/virtual/2026/poster/5780,6_GUI_adjacent
Method,-,Accept Poster,AnchorGUI: Asymmetric Memory for Dual-Scale Learning in GUI Navigation,"Shengjie Jin, Zelong Sun, Hengbo Xu, Yanbiao Ma, Zhiwu Lu",https://eccv.ecva.net/virtual/2026/poster/4292,,https://eccv.ecva.net/virtual/2026/poster/4292,6_GUI_adjacent
Method,-,Accept Poster,Are GUI Agents Focused Enough? Automated Distraction via Semantic-level UI Element Injection,"Wenkui Yang, chao jin, Haisu Zhu, Weilin Luo, Derek Yuen, Kun Shao, Junxian Duan, Huaibo Huang, Jie Cao, Ran He",https://eccv.ecva.net/virtual/2026/poster/3983,,https://eccv.ecva.net/virtual/2026/poster/3983,6_GUI_adjacent
Method,-,Accept Poster,DeCoPatch: Revealing Causal Latent Subspaces in Vision-Language Models for GUI Grounding,"Yongkang Zhang, Linjia Kang, Zhimin Wang, Duo Wu, Zhi Wang",https://eccv.ecva.net/virtual/2026/poster/4189,,https://eccv.ecva.net/virtual/2026/poster/4189,6_GUI_adjacent
