Type,Decision,Title,Authors,Paper_Link,PDF_Link,Category
Dataset,Accept (Poster),Beyond Content Relevance: Evaluating Instruction Following in Retrieval Models,"Jianqun Zhou, Yuanlei Zheng, Wei Chen, Qianqian Zheng, Shang Zeyuan, Wei Zhang, Rui Meng, Xiaoyu Shen",https://openreview.net/forum?id=OlRjxSuSwl,https://openreview.net/pdf?id=OlRjxSuSwl,3_Retrieval_Embeddings
Method,Accept (Poster),Contextual Document Embeddings,"John X. Morris, Alexander Rush",https://openreview.net/forum?id=Wqsk3FbD6D,https://openreview.net/pdf?id=Wqsk3FbD6D,3_Retrieval_Embeddings
Method,Accept (Spotlight),Multi-Field Adaptive Retrieval,"Millicent Li, Tongfei Chen, Ben Van Durme, Patrick Xia",https://openreview.net/forum?id=3PDklqqqfN,https://openreview.net/pdf?id=3PDklqqqfN,3_Retrieval_Embeddings
Method,Accept (Poster),Attention in Large Language Models Yields Efficient Zero-Shot Re-Rankers,"Shijie Chen, Bernal Jimenez Gutierrez, Yu Su",https://openreview.net/forum?id=yzloNYH3QN,https://openreview.net/pdf?id=yzloNYH3QN,3_Retrieval_Embeddings
Method,Accept (Poster),NUDGE: Lightweight Non-Parametric Fine-Tuning of Embeddings for Retrieval,"Sepanta Zeighami, Zac Wellmer, Aditya Parameswaran",https://openreview.net/forum?id=MYw74B77KQ,https://openreview.net/pdf?id=MYw74B77KQ,3_Retrieval_Embeddings
Method,Accept (Poster),Perplexity Trap: PLM-Based Retrievers Overrate Low Perplexity Documents,"Haoyu Wang, Sunhao Dai, Haiyuan Zhao, Liang Pang, Xiao Zhang, Gang Wang, Zhenhua Dong, Jun Xu, Ji-Rong Wen",https://openreview.net/forum?id=U1T6sq12uj,https://openreview.net/pdf?id=U1T6sq12uj,3_Retrieval_Embeddings
Method,Accept (Poster),Generative Representational Instruction Tuning,"Niklas Muennighoff, Hongjin SU, Liang Wang, Nan Yang, Furu Wei, Tao Yu, Amanpreet Singh, Douwe Kiela",https://openreview.net/forum?id=BC4lIvfSzv,https://openreview.net/pdf?id=BC4lIvfSzv,3_Retrieval_Embeddings
Dataset,Accept (Poster),Ward: Provable RAG Dataset Inference via LLM Watermarks,"Nikola Jovanović, Robin Staab, Maximilian Baader, Martin Vechev",https://openreview.net/forum?id=kVrwHLAb20,https://openreview.net/pdf?id=kVrwHLAb20,4_RAG
Dataset,Accept (Poster),"FaithEval: Can Your Language Model Stay Faithful to Context, Even If ""The Moon is Made of Marshmallows""","Yifei Ming, Senthil Purushwalkam, Shrey Pandit, Zixuan Ke, Xuan-Phi Nguyen, Caiming Xiong, Shafiq Joty",https://openreview.net/forum?id=UeVx6L59fg,https://openreview.net/pdf?id=UeVx6L59fg,4_RAG
Dataset,Accept (Spotlight),To Trust or Not to Trust? Enhancing Large Language Models' Situated Faithfulness to External Contexts,"Yukun Huang, Sanxing Chen, Hongyi Cai, Bhuwan Dhingra",https://openreview.net/forum?id=K2jOacHUlO,https://openreview.net/pdf?id=K2jOacHUlO,4_RAG
