Type,Sub-category,Title,Authors,Track,Paper_Link,PDF_Link,Category
Method,-,Zero-Shot Robotic Manipulation via 3D Gaussian Splatting-Enhanced Multimodal Retrieval-Augmented Generation,"Zilong Xie, Jingyu Gong, Xin Tan, Zhizhong Zhang, Yuan Xie",AAAI Technical Track on Intelligent Robotics,https://ojs.aaai.org/index.php/AAAI/article/view/38936,https://ojs.aaai.org/index.php/AAAI/article/view/38936/42898,4_Multimodal_RAG
Method,-,ViG-RAG: Video-aware Graph Retrieval-Augmented Generation via Temporal and Semantic Hybrid Reasoning,"Zongsheng Cao, Anran Liu, Yangfan He, Jing Li, Bo Zhang, Zigan Wang",AAAI Technical Track on Application Domains I,https://ojs.aaai.org/index.php/AAAI/article/view/36963,https://ojs.aaai.org/index.php/AAAI/article/view/36963/40925,4_Multimodal_RAG
Method,-,RAGAR: Retrieval Augmented Personalized Image Generation Guided by Recommendation,"Run Ling, Wenji Wang, Yuting Liu, Guibing Guo, Haowei Liu, Jian Lu, Quanwei Zhang, Yexing Xu, Shuo Lu, Yun Wang, Yihua Shao, Linying Jiang, Xingwei Wang",AAAI Technical Track on Data Mining & Knowledge Management II,https://ojs.aaai.org/index.php/AAAI/article/view/38553,https://ojs.aaai.org/index.php/AAAI/article/view/38553/42515,4_Multimodal_RAG
Dataset,-,PRGB Benchmark: A Robust Placeholder-Assisted Algorithm for Benchmarking Retrieval-Augmented Generation,"Zhehao Tan, Yihan Jiao, Dan Yang, Junwei Liu, Lei Liu, Jie Feng, Duolin Sun, Yue Shen, Jian Wang, Peng Wei, Jinjie Gu",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40602,https://ojs.aaai.org/index.php/AAAI/article/view/40602/44563,5_Text_Graph_RAG
Dataset,-,In-Situ Eval: A Modular Framework for Custom and Real-Time RAG Benchmarking,"Ritvik Garimella, Kaushik Roy, Chathurangi Shyalika, Amit Sheth",AAAI Demonstration Track,https://ojs.aaai.org/index.php/AAAI/article/view/42348,https://ojs.aaai.org/index.php/AAAI/article/view/42348/46309,5_Text_Graph_RAG
Dataset,-,Mobile-Agent-RAG: Driving Smart Multi-Agent Coordination with Contextual Knowledge Empowerment for Long-Horizon Mobile Automation,"Yuxiang Zhou, Jichang Li, Yanhao Zhang, Haonan Lu, Guanbin Li",AAAI Technical Track on Multiagent Systems,https://ojs.aaai.org/index.php/AAAI/article/view/40241,https://ojs.aaai.org/index.php/AAAI/article/view/40241/44202,5_Text_Graph_RAG
Dataset,-,Driving with Regulation: Trustworthy and Interpretable Decision-Making for Autonomous Driving with Retrieval-Augmented Reasoning,"Tianhui Cai, Yifan Liu, Zewei Zhou, Haoxuan Ma, Seth Z. Zhao, Zhiwen Wu, Xu Han, Zhiyu Huang, Jiaqi Ma",AAAI Special Track on AI for Social Impact I,https://ojs.aaai.org/index.php/AAAI/article/view/41168,https://ojs.aaai.org/index.php/AAAI/article/view/41168/45129,5_Text_Graph_RAG
Method,-,RAG-Enhanced Collaborative LLM Agents for Drug Discovery,"Namkyeong Lee, Edward De Brouwer, Ehsan Hajiramezanali, Tommaso Biancalani, Chanyoung Park, Gabriele Scalia",AAAI Technical Track on Application Domains I,https://ojs.aaai.org/index.php/AAAI/article/view/37020,https://ojs.aaai.org/index.php/AAAI/article/view/37020/40982,5_Text_Graph_RAG
Method,-,PsyPARSE: Retrieval-Augmented Slow Thinking for Personalized Empathetic Counseling,"Longxiang Wang, Pukun Zhao, Chen Chen, Jinhe Bi, Huacan Wang, Tong Zhang, Ronghao Chen",AAAI Technical Track on Application Domains II,https://ojs.aaai.org/index.php/AAAI/article/view/37089,https://ojs.aaai.org/index.php/AAAI/article/view/37089/41051,5_Text_Graph_RAG
Method,-,ChipMind: Retrieval-Augmented Reasoning for Long-Context Circuit Design Specifications,"Changwen Xing, SamZaak Wong, Xinlai Wan, Yanfeng Lu, Mengli Zhang, Zebin Ma, Lei Qi, Zhengxiong Li, Nan Guan, Zhe Jiang, Xi Wang, Jun Yang",AAAI Technical Track on Application Domains II,https://ojs.aaai.org/index.php/AAAI/article/view/37107,https://ojs.aaai.org/index.php/AAAI/article/view/37107/41069,5_Text_Graph_RAG
Method,-,Open-World 3D Scene Graph Generation for Retrieval-Augmented Reasoning,"Yu Fei, Quan Deng, Shengeng Tang, Li Yuehua, Lechao Cheng",AAAI Technical Track on Computer Vision II,https://ojs.aaai.org/index.php/AAAI/article/view/37391,https://ojs.aaai.org/index.php/AAAI/article/view/37391/41353,5_Text_Graph_RAG
Method,-,DreamRunner: Fine-Grained Compositional Story-to-Video Generation with Retrieval-Augmented Motion Adaptation,"Zun Wang, Jialu Li, Han Lin, Jaehong Yoon, Mohit Bansal",AAAI Technical Track on Computer Vision X,https://ojs.aaai.org/index.php/AAAI/article/view/38022,https://ojs.aaai.org/index.php/AAAI/article/view/38022/41984,5_Text_Graph_RAG
