No,Type,Title,Authors,Track,Paper_Link,PDF_Link,OpenReview
3027,Method,ReQFlow: Rectified Quaternion Flow for Efficient and High-Quality Protein Backbone Generation,"Angxiao Yue, Zichong Wang, Hongteng Xu",Main,https://proceedings.mlr.press/v267/yue25c.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yue25c/yue25c.pdf,https://openreview.net/forum?id=f375uEmYDf
3028,Method,Optimal Information Retention for Time-Series Explanations,"Jinghang Yue, Jing Wang, Lu Zhang, Shuo Zhang, Da Li, Zhaoyang Ma, Youfang Lin",Main,https://proceedings.mlr.press/v267/yue25d.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yue25d/yue25d.pdf,https://openreview.net/forum?id=u6k5y3FDW1
3029,Method,Holistic Physics Solver: Learning PDEs in a Unified Spectral-Physical Space,"Xihang Yue, Yi Yang, Linchao Zhu",Main,https://proceedings.mlr.press/v267/yue25e.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yue25e/yue25e.pdf,https://openreview.net/forum?id=oB5a6yIAmF
3030,Method,Posterior Inference with Diffusion Models for High-dimensional Black-box Optimization,"Taeyoung Yun, Kiyoung Om, Jaewoo Lee, Sujin Yun, Jinkyoo Park",Main,https://proceedings.mlr.press/v267/yun25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yun25a/yun25a.pdf,https://openreview.net/forum?id=EXds2NBOoq
3031,Method,Interpreting CLIP with Hierarchical Sparse Autoencoders,"Vladimir Zaigrajew, Hubert Baniecki, Przemyslaw Biecek",Main,https://proceedings.mlr.press/v267/zaigrajew25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zaigrajew25a/zaigrajew25a.pdf,https://openreview.net/forum?id=5MQQsenQBm
3032,Method,Guided Search Strategies in Non-Serializable Environments with Applications to Software Engineering Agents,"Karina Zainullina, Alexander Golubev, Maria Trofimova, Sergei Polezhaev, Ibragim Badertdinov, Daria Litvintseva, Simon Karasik, Filipp Fisin, Sergei Skvortsov, Maksim Nekrashevich, Anton Shevtsov, Boris Yangel",Main,https://proceedings.mlr.press/v267/zainullina25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zainullina25a/zainullina25a.pdf,https://openreview.net/forum?id=NMdWQXosFs
3033,Method,Adaptive Data Collection for Robust Learning Across Multiple Distributions,"Chengbo Zang, Mehmet Kerem Turkcan, Gil Zussman, Zoran Kostic, Javad Ghaderi",Main,https://proceedings.mlr.press/v267/zang25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zang25a/zang25a.pdf,https://openreview.net/forum?id=n8fJdB6GMZ
3034,Method,"Regress, Don’t Guess: A Regression-like Loss on Number Tokens for Language Models","Jonas Zausinger, Lars Pennig, Anamarija Kozina, Sean Sdahl, Julian Sikora, Adrian Dendorfer, Timofey Kuznetsov, Mohamad Hagog, Nina Wiedemann, Kacper Chlodny, Vincent Limbach, Anna Ketteler, Thorben Prein, Vishwa Mohan Singh, Michael Danziger, Jannis Born",Main,https://proceedings.mlr.press/v267/zausinger25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zausinger25a/zausinger25a.pdf,https://openreview.net/forum?id=V66xc5KxgY
3035,Method,Adaptive Learn-then-Test: Statistically Valid and Efficient Hyperparameter Selection,"Matteo Zecchin, Sangwoo Park, Osvaldo Simeone",Main,https://proceedings.mlr.press/v267/zecchin25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zecchin25a/zecchin25a.pdf,https://openreview.net/forum?id=JxnOZwFNcU
3036,Method,AdvI2I: Adversarial Image Attack on Image-to-Image Diffusion Models,"Yaopei Zeng, Yuanpu Cao, Bochuan Cao, Yurui Chang, Jinghui Chen, Lu Lin",Main,https://proceedings.mlr.press/v267/zeng25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zeng25a/zeng25a.pdf,https://openreview.net/forum?id=It1AkQ6xEJ
