No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
2734,Method,"Bilevel Optimization for Adversarial Learning Problems: Sharpness, Generation, and Beyond","Risheng Liu, Zhu Liu, Weihao Mao, Wei Yao, Jin Zhang",Accept (poster),https://openreview.net/forum?id=lEXyU72PpT,https://openreview.net/pdf?id=lEXyU72PpT
2735,Method,REDOUBT: Duo Safety Validation for Autonomous Vehicle Motion Planning,"Shuguang Wang, Qian Zhou, Kui Wu, Dapeng Wu, Wei-Bin Lee, Jianping Wang",Accept (poster),https://openreview.net/forum?id=lEsvczuPVj,https://openreview.net/pdf?id=lEsvczuPVj
2736,Method,PAC-Bayes Bounds for Multivariate Linear Regression and Linear Autoencoders,"Ruixin Guo, Ruoming Jin, Xinyu Li, Yang Zhou",Accept (poster),https://openreview.net/forum?id=S1zkFSby8G,https://openreview.net/pdf?id=S1zkFSby8G
2737,Method,Robust Hyperbolic Learning with Curvature-Aware Optimization,"Ahmad Bdeir, Johannes Burchert, Lars Schmidt-Thieme, Niels Landwehr",Accept (poster),https://openreview.net/forum?id=lJ5WCJZfQn,https://openreview.net/pdf?id=lJ5WCJZfQn
2738,Method,HYPRL: Reinforcement Learning of Control Policies for Hyperproperties,"Tzu-Han Hsu, Arshia Rafieioskouei, Borzoo Bonakdarpour",Accept (poster),https://openreview.net/forum?id=lJSAtyx9Uc,https://openreview.net/pdf?id=lJSAtyx9Uc
2739,Method,Don't be lazy: CompleteP enables compute-efficient deep transformers,"Nolan Dey, Bin Zhang, Lorenzo Noci, Mufan Li, Blake Bordelon, Shane Bergsma, Cengiz Pehlevan, Boris Hanin, Joel Hestness",Accept (poster),https://openreview.net/forum?id=lMU2kaMANl,https://openreview.net/pdf?id=lMU2kaMANl
2740,Method,A Closer Look at TabPFN v2: Understanding Its Strengths and Extending Its Capabilities,"Han-Jia Ye, Si-Yang Liu, Wei-Lun (Harry) Chao",Accept (poster),https://openreview.net/forum?id=lQYNmlTwtc,https://openreview.net/pdf?id=lQYNmlTwtc
2741,Method,$\mu$PC: Scaling Predictive Coding to 100+ Layer Networks,"Francesco Innocenti, El Mehdi Achour, Christopher L Buckley",Accept (poster),https://openreview.net/forum?id=lSLSzYuyfX,https://openreview.net/pdf?id=lSLSzYuyfX
2742,Method,LaM-SLidE: Latent Space Modeling of Spatial Dynamical Systems via Linked Entities,"Florian Sestak, Artur Toshev, Andreas Fürst, Günter Klambauer, Andreas Mayr, Johannes Brandstetter",Accept (poster),https://openreview.net/forum?id=lTEjpeTXIo,https://openreview.net/pdf?id=lTEjpeTXIo
2743,Method,DualMPNN: Harnessing Structural Alignments for High-Recovery Inverse Protein Folding,"Xuhui Liao, qiyu wang, Zhiqiang Liang, Liwei Xiao, Junjie Chen",Accept (poster),https://openreview.net/forum?id=R42O6v84cX,https://openreview.net/pdf?id=R42O6v84cX
2744,Method,Gated Integration of Low-Rank Adaptation for Continual Learning of Large Language Models,"Yan-Shuo Liang, Jia-Rui Chen, Wu-Jun Li",Accept (poster),https://openreview.net/forum?id=lVV7F0piDK,https://openreview.net/pdf?id=lVV7F0piDK
2745,Method,"Flatness is Necessary, Neural Collapse is Not: Rethinking Generalization via Grokking","Ting Han, Linara Adilova, Henning Petzka, Jens Kleesiek, Michael Kamp",Accept (poster),https://openreview.net/forum?id=lbtOctHDQ3,https://openreview.net/pdf?id=lbtOctHDQ3
2746,Method,Towards Straggler-Resilient Split Federated Learning: An Unbalanced Update Approach,"Dandan Liang, Jianing Zhang, Evan Chen, Zhe Li, Rui Li, Haibo Yang",Accept (poster),https://openreview.net/forum?id=MOAmJKj2Uc,https://openreview.net/pdf?id=MOAmJKj2Uc
2747,Method,Conformal Prediction in The Loop: A Feedback-Based Uncertainty Model for Trajectory Optimization,"Han Wang, Chao Ning",Accept (poster),https://openreview.net/forum?id=lg51XnHt2H,https://openreview.net/pdf?id=lg51XnHt2H
2748,Method,Graphs Help Graphs: Multi-Agent Graph Socialized Learning,"Jialu Li, Yu Wang, Pengfei Zhu, Wanyu Lin, Xinjie Yao, Qinghua Hu",Accept (poster),https://openreview.net/forum?id=lkw2WJLdbh,https://openreview.net/pdf?id=lkw2WJLdbh
2749,Method,Reinforcing the Diffusion Chain of Lateral Thought with Diffusion Language Models,"Zemin Huang, Zhiyang Chen, Zijun Wang, Tiancheng Li, Guo-Jun Qi",Accept (poster),https://openreview.net/forum?id=aDTcN3yZGE,https://openreview.net/pdf?id=aDTcN3yZGE
2750,Method,Shift Before You Learn: Enabling Low-Rank Representations in Reinforcement Learning,"Bastien Dubail, Stefan Stojanovic, Alexandre Proutiere",Accept (spotlight),https://openreview.net/forum?id=loVvFhfsDf,https://openreview.net/pdf?id=loVvFhfsDf
2751,Method,Towards a General Attention Framework on Gyrovector Spaces for Matrix Manifolds,"Rui Wang, Chen Hu, Xiaoning Song, Xiaojun Wu, Nicu Sebe, Ziheng Chen",Accept (poster),https://openreview.net/forum?id=lovTDtbsdZ,https://openreview.net/pdf?id=lovTDtbsdZ
2752,Method,ReMA: Learning to Meta-Think for LLMs with Multi-agent Reinforcement Learning,"Ziyu Wan, Yunxiang Li, Xiaoyu Wen, Yan Song, Hanjing Wang, Linyi Yang, Mark Schmidt, Jun Wang, Weinan Zhang, Shuyue Hu, Ying Wen",Accept (poster),https://openreview.net/forum?id=ur295YVtmt,https://openreview.net/pdf?id=ur295YVtmt
2753,Method,On the creation of narrow AI: hierarchy and nonlocality of neural network skills,"Eric Michaud, Asher Parker-Sartori, Max Tegmark",Accept (poster),https://openreview.net/forum?id=lscdYmLJ5v,https://openreview.net/pdf?id=lscdYmLJ5v
2754,Method,Mitigating Reward Over-optimization in Direct Alignment Algorithms with Importance Sampling,"Nguyen Phuc, Ngoc-Hieu Nguyen, Duy M. H. Nguyen, Anji Liu, An Mai, Thanh Binh Nguyen, Daniel Sonntag, Khoa D Doan",Accept (poster),https://openreview.net/forum?id=ltPRj2nthL,https://openreview.net/pdf?id=ltPRj2nthL
2755,Method,Preference-based Reinforcement Learning beyond Pairwise Comparisons: Benefits of Multiple Options,"Joongkyu Lee, Seouh-won Yi, Min-hwan Oh",Accept (poster),https://openreview.net/forum?id=mPuOMcN9E7,https://openreview.net/pdf?id=mPuOMcN9E7
2756,Method,When Does Closeness in Distribution Imply Representational Similarity? An Identifiability Perspective,"Beatrix Nielsen, Emanuele Marconato, Andrea Dittadi, Luigi Gresele",Accept (poster),https://openreview.net/forum?id=mQOaC3uH2r,https://openreview.net/pdf?id=mQOaC3uH2r
2757,Method,Adaptive Frontier Exploration on Graphs with Applications to Network-Based Disease Testing,"XianJun, Davin Choo, Yuqi Pan, Tonghan Wang, Milind Tambe, Alastair van Heerden, Cheryl Johnson",Accept (poster),https://openreview.net/forum?id=mUJU8LmhZY,https://openreview.net/pdf?id=mUJU8LmhZY
