No,Type,Vol_Issue,Published,Title,Authors,Pages,DOI,Paper_Link
648,Method,48(8),2026-8,Seeking Flat Minima Over Diverse Surrogates for Improved Adversarial Transferability: A Theoretical Framework and Algorithmic Instantiation,"Meixi Zheng, Kehan Wu, Yanbo Fan, Rui Huang, Baoyuan Wu",9552-9570,10.1109/tpami.2026.3679726,https://doi.org/10.1109/tpami.2026.3679726
649,Method,48(8),2026-8,Cross-Frequency Implicit Neural Representation With Self-Evolving Parameters,"Chang Yu, Yisi Luo, Kai Ye, Xile Zhao, Deyu Meng",9467-9485,10.1109/tpami.2026.3679791,https://doi.org/10.1109/tpami.2026.3679791
650,Method,48(8),2026-8,SparseBEV: A Fully Sparse Framework for Multi-View 3D Object Detection,"Yang Chen, Haisong Liu, Limin Wang",9748-9764,10.1109/tpami.2026.3679808,https://doi.org/10.1109/tpami.2026.3679808
651,Method,48(8),2026-8,Learning Continuous Spatiotemporal Implicit Neural Fields for Unsupervised Video Denoising,"Xiaowan Hu, Henan Liu, Ce Zheng, Xinyang Li, Mai Xu",9415-9433,10.1109/tpami.2026.3680159,https://doi.org/10.1109/tpami.2026.3680159
652,Method,48(8),2026-8,Training-Free Ultra Small Model for Universal Sparse Reconstruction in Compressed Sensing,"Chaoqing Tang, Huanze Zhuang, Guiyun Tian, Zhenli Zeng, Yi Ding, Wenzhong Liu, Lin Lin, Xiang Bai",9797-9812,10.1109/tpami.2026.3680162,https://doi.org/10.1109/tpami.2026.3680162
653,Method,48(8),2026-8,How Can State Space Models Enhance Machine Learning on Graphs?,"Yinan Huang, Siqi Miao, Pan Li",10184-10191,10.1109/tpami.2026.3680437,https://doi.org/10.1109/tpami.2026.3680437
654,Method,48(8),2026-8,DAC-MR: Data Augmentation Consistency Based Meta-Regularization for Meta-Learning,"Jun Shu, Xiang Yuan, Deyu Meng, Zongben Xu",9642-9658,10.1109/tpami.2026.3680442,https://doi.org/10.1109/tpami.2026.3680442
655,Method,48(8),2026-8,MCPNet++: Interpretable Classification Models via Multi-Level Concept Prototypes,"Bor-Shiun Wang, Chien-Yi Wang, Wei-Chen Chiu",9694-9710,10.1109/tpami.2026.3680506,https://doi.org/10.1109/tpami.2026.3680506
656,Method,48(8),2026-8,Motion2VecSets: Non-Rigid Shape Reconstruction and Tracking With 4D Latent Set Diffusion,"Jiapeng Tang, Wei Cao, Biao Zhang, Chang Luo, Yaoyao Liu, Matthias Nießner",9519-9536,10.1109/tpami.2026.3680779,https://doi.org/10.1109/tpami.2026.3680779
657,Method,48(8),2026-8,A Non-Negative Deep VAE: The Generalized Gamma Belief Network,"Zhibin Duan, Tiansheng Wen, Muyao Wang, Wenchao Chen, Hao Zhang, Bo Chen, Fei Meng, Hongwei Liu, Mingyuan Zhou",9675-9693,10.1109/tpami.2026.3680869,https://doi.org/10.1109/tpami.2026.3680869
658,Method,48(8),2026-8,Robust Adaptation of Foundation Models With Black-Box Visual Prompting,"Changdae Oh, Gyeongdeok Seo, Geunyoung Jung, Zhi-Qi Cheng, Hosik Choi, Jiyoung Jung, Kyungwoo Song",9372-9383,10.1109/tpami.2026.3681244,https://doi.org/10.1109/tpami.2026.3681244
659,Method,48(8),2026-8,A Pose-Only Geometric Constraint for Multi-Camera Pose Adjustment,"Shunkun Liang, Banglei Guan, Bin Li, Qifeng Yu, Yang Shang",9354-9371,10.1109/tpami.2026.3681272,https://doi.org/10.1109/tpami.2026.3681272
660,Method,48(8),2026-8,iSeg: An Iterative Refinement-Based Framework for Training-Free Segmentation,"Lin Sun, Jiale Cao, Jin Xie, Fahad Shahbaz Khan, Yanwei Pang",9765-9781,10.1109/tpami.2026.3681368,https://doi.org/10.1109/tpami.2026.3681368
