No,Type,Track,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
11,Method,Journal track (IJDAR),HQ-Font: Few-shot Font Generation via Transferring Hierarchical Quantization Styles,"Anna Zhu, Wei Pan, Guan Li, Hongyi Cai, Kenji Brian",,,,https://scholar.google.com/scholar?q=%22HQ-Font%3A+Few-shot+Font+Generation+via+Transferring+Hierarchical+Quantization+Styles%22,https://arxiv.org/search/?searchtype=title&query=HQ-Font%3A+Few-shot+Font+Generation+via+Transferring+Hierarchical+Quantization+Styles,2025-468
12,Method,Journal track (IJDAR),Predicting Text Recognition Word Error Rate of Image Documents Without Ground Truth Transcripts,"Enrique Vidal, Alejandro H. Toselli",,,,https://scholar.google.com/scholar?q=%22Predicting+Text+Recognition+Word+Error+Rate+of+Image+Documents+Without+Ground+Truth+Transcripts%22,https://arxiv.org/search/?searchtype=title&query=Predicting+Text+Recognition+Word+Error+Rate+of+Image+Documents+Without+Ground+Truth+Transcripts,2025-403
13,Competition,Competition,ICDAR 2026 Competition on Information Extraction from Atomic Layer Deposition/Etching (ALD/E) Scientific Figures,"Fahad Ahmed, Jennifer D'Souza, Sören Auer",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_19,https://scholar.google.com/scholar?q=%22ICDAR+2026+Competition+on+Information+Extraction+from+Atomic+Layer+Deposition%2FEtching+%28ALD%2FE%29+Scientific+Figures%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+Competition+on+Information+Extraction+from+Atomic+Layer+Deposition%2FEtching+%28ALD%2FE%29+Scientific+Figures,C1
14,Competition,Competition,ICDAR2026 Competition on Multimodal Reasoning over Documents in Multiple Domains,"Artemis Llabrés, Marc Serra Ortega, Tomás Ockier, Samuel Ortega Cuadra, Amritpal Singh, Christos Georgakilas, Andrey Barsky, Ernest Valveny, Dimosthenis Karatzas",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_20,https://scholar.google.com/scholar?q=%22ICDAR2026+Competition+on+Multimodal+Reasoning+over+Documents+in+Multiple+Domains%22,https://arxiv.org/search/?searchtype=title&query=ICDAR2026+Competition+on+Multimodal+Reasoning+over+Documents+in+Multiple+Domains,C2
15,Competition,Competition,ICDAR 2026 FalsID Competition on Falsification and Imitation Detection,"Dominique Stutzmann, Riham Aida Mokrani, Franco Tomasi, Elena Pierazzo",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_22,https://scholar.google.com/scholar?q=%22ICDAR+2026+FalsID+Competition+on+Falsification+and+Imitation+Detection%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+FalsID+Competition+on+Falsification+and+Imitation+Detection,C3
16,Competition,Competition,ICDAR 2026 Competition on Long-Term Handwriting Author Identification,"Adrià Molina Rodríguez, Carles Boned Riera, Pau Torras, Oriol Ramos Terrades, Josep Lladós",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_23,https://scholar.google.com/scholar?q=%22ICDAR+2026+Competition+on+Long-Term+Handwriting+Author+Identification%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+Competition+on+Long-Term+Handwriting+Author+Identification,C4
17,Competition,Competition,ICDAR 2026 Competition on Multilingual Medieval Handwriting Recognition,"Benjamin Kiessling, Agnès Boutreux, Bram Cars, Matthias Gille Levenson, Mike Kestemont, Anna Michalcová, Ariane Pinche, Caroline Vandyck, Malamatenia Vlachou Efstathiou, Thibault Clérice",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_21,https://scholar.google.com/scholar?q=%22ICDAR+2026+Competition+on+Multilingual+Medieval+Handwriting+Recognition%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+Competition+on+Multilingual+Medieval+Handwriting+Recognition,C5
18,Competition,Competition,ICDAR 2026 HIPE-OCRepair Competition on LLM-Assisted OCR Post-Correction for Historical Documents,"Maud Ehrmann, Emanuela Boros, Juri Opitz, Andrianos Michail, Florian Wagner, Simon Clematide",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_24,https://scholar.google.com/scholar?q=%22ICDAR+2026+HIPE-OCRepair+Competition+on+LLM-Assisted+OCR+Post-Correction+for+Historical+Documents%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+HIPE-OCRepair+Competition+on+LLM-Assisted+OCR+Post-Correction+for+Historical+Documents,C6
19,Competition,Competition,ICDAR 2026 Competition in Text Recognition on Greek Squeezes,"Nicholas R. Howe, Aaron Hershkowitz",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_26,https://scholar.google.com/scholar?q=%22ICDAR+2026+Competition+in+Text+Recognition+on+Greek+Squeezes%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+Competition+in+Text+Recognition+on+Greek+Squeezes,C7
20,Competition,Competition,ICDAR 2026 Competition on Writer Identification and Pen Classification from Hand-Drawn Circles,"Thomas Gorges, Janne van der Loop, Lukas Hüttner, Linda-Sophie Schneider, Fei Wu, Mathias Seuret, Vincent Christlein",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_25,https://scholar.google.com/scholar?q=%22ICDAR+2026+Competition+on+Writer+Identification+and+Pen+Classification+from+Hand-Drawn+Circles%22,https://arxiv.org/search/?searchtype=title&query=ICDAR+2026+Competition+on+Writer+Identification+and+Pen+Classification+from+Hand-Drawn+Circles,C8
