No,Type,Title,Authors,Volume,DOI,Paper_Link
762,Method,NodeBits: A Plug-and-Play Framework for Accelerating Graph Inference by Post-Hoc Binary Quantization,"Qihao Cheng, Tianhao Wu, Da Yan, Haoran Tang",10.1145/3770855,10.1145/3770855.3817681,https://doi.org/10.1145/3770855.3817681
763,Method,PrePrompt: Predictive Prompting for Class Incremental Learning,"Libo Huang, Xiangqi Li, Jiarui Zhao, Zhulin An, Chuanguang Yang, Boyu Diao, Fei Wang, Yan Zeng, Zhifeng Hao, Yongjun Xu",10.1145/3770855,10.1145/3770855.3817682,https://doi.org/10.1145/3770855.3817682
764,Method,RePatch: Learning Entropy-Guided Patch Structures with Quantized Representations for Time Series Forecasting,"Hanbin Xiao, Xun Zhou, Rui Huang, Xiucheng Li, Weili Guan, Liqiang Nie",10.1145/3770855,10.1145/3770855.3817683,https://doi.org/10.1145/3770855.3817683
765,Method,Geometry-Aware Update Control for Robust Optimization,"Yitong Ma, Mandi Li, Gang Yan",10.1145/3770855,10.1145/3770855.3817684,https://doi.org/10.1145/3770855.3817684
766,Method,Semi-Supervised Text-Attributed Graph Distillation,"Yurui Lai, Samir Moustafa, Renchi Yang, Tsz Nam Chan",10.1145/3770855,10.1145/3770855.3817685,https://doi.org/10.1145/3770855.3817685
767,Method,Recall-Aware Early Termination in Approximate Nearest Neighbor Search,"Shuang Hao, Xinxin Li, Wei Zhang",10.1145/3770855,10.1145/3770855.3817686,https://doi.org/10.1145/3770855.3817686
768,Method,On Optimizing Route-Responsive Urban Tree Placement in City-Scale Pedestrian Networks,"Tianyou Gao, Takayuki Ito",10.1145/3770855,10.1145/3770855.3817687,https://doi.org/10.1145/3770855.3817687
769,Method,A Progressive Visual-Logic-Aligned Framework for Ride-Hailing Adjudication,"Weiming Wu, Zi-Jian Cheng, Jie Meng, Peng Zhen, Shan Huang, Qun Li, Guobin Wu, Lan-Zhe Guo",10.1145/3770855,10.1145/3770855.3817688,https://doi.org/10.1145/3770855.3817688
770,Method,Component-based Reusable UI Code Generation for Complex Websites via Semantic Segmentation and Fine-grained Feedback,"Jingyu Xiao, Jiantong Qin, Shuoqi Li, Man Ho Lam, Yuxuan Wan, Jen-tse Huang, Yintong Huo, Michael R. Lyu",10.1145/3770855,10.1145/3770855.3817689,https://doi.org/10.1145/3770855.3817689
771,Method,Over-squashing as Transport Congestion: A Sandpile Dynamics Perspective,"Yang Shi, Lixian Chen, Jingchao Wang, Minzhe Guo, Mingxuan Huang, Yanhui Chen, Yifeng Xie, Xuhang Chen, Liangsi Lu",10.1145/3770855,10.1145/3770855.3817690,https://doi.org/10.1145/3770855.3817690
