No,Type,Title,Authors,Track,DOI,Paper_Link,PDF_Link
429,Method,Zera: Zero-Reindex Multimodal Rag Via Heterogeneous Embedding Alignment For Lightweight Query Encoding,"Kim, SungJin; Ahn, Dasom; Kim, HyeRim; Kim, Sangwon ; Kim, Kwang-Ju; Ko, Byoung Chul",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_44,https://doi.org/10.1007/978-3-032-31452-9_44,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_44
430,Method,Enhancing Interactive Gaze Behavior Recognition Via Co-Training With Temporal Gaze Segmentation,"Xu, Tianchen; Liu, Weimin; Jin, Xi; Yang, Yang; Li, Hui",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_47,https://doi.org/10.1007/978-3-032-31452-9_47,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_47
431,Method,"The Good, The Bad, And The Template: Contrastive Anomaly Detection In 3D","Tarvo, Alexander; Chen, Xu; Acton, Colin; Wan, Yusen",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_2,https://doi.org/10.1007/978-3-032-31920-3_2,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_2
432,Method,Paired Uniform Cubic B-Splines Are Strong Approximation To Represent Skeleton Activity,"Rosman, Muhammad Amirul Raziq; Malik, Owais Ahmed; Lai, Daphne Teck Ching; Ong, Wee Hong",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_4,https://doi.org/10.1007/978-3-032-31920-3_4,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_4
433,Method,Hffdet: Real-Time Point Cloud Object Detector Based On Hierarchical Feature Fusion,"Li, Yuan; Song, Mengdie; Xie, Qihu; Meng, Yulong; Chen, Song; Kang, Yi",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_5,https://doi.org/10.1007/978-3-032-31920-3_5,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_5
434,Method,Explicit Analytical Reconstruction And  Global Geometric Constraints For Micron-Level Telecentric 3D Metrology,"Liu, Zhenhua; Ye, Yuping; Liang, Jixin; Gu, Feifei; Song, Zhan",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_6,https://doi.org/10.1007/978-3-032-31920-3_6,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_6
435,Method,Yoga-Matnode: Multi-View Attention Neural Ode For Skeleton-Based Yoga Pose Recognition,"Niyas P, Rashi ; Tiwari, Hitika; Shinde, Tushar",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_7,https://doi.org/10.1007/978-3-032-31920-3_7,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_7
436,Method,A Fully Unsupervised Framework For Object Mask Labeling With The Self-Supervised Vision Transformer,"KUMAR, SONAL; Jitendrabhai Kathrotiya , Sanket; Daydar, Akshay; Sur, Arijit ; Dutta Baruah, Rashmi",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_8,https://doi.org/10.1007/978-3-032-31920-3_8,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_8
437,Method,Scale: Semantic- And Confidence-Aware Conditional Variational Autoencoder For Zero-Shot Skeleton-Based Action Recognition,"Oraki, Soroush; Ding, Feng; Liang, Jie",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_17,https://doi.org/10.1007/978-3-032-31920-3_17,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_17
438,Method,Cacmam: Content-Aware Contrastive State Space Model For Unpaired Image Dehazing,"Chen, Tong; Li, Jia; Chen, Yunzhi; Huang, Hongyang; Yang, Fengyu; Chen, Ying",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_22,https://doi.org/10.1007/978-3-032-31920-3_22,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_22
439,Method,Spnc-Yolo: An Architecture-Optimized Framework For Real-Time Small Object Detection In Uav Imagery,"Li, Feng; Zhang, Yuhang",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_29,https://doi.org/10.1007/978-3-032-31920-3_29,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_29
440,Method,Baysurf-Sanf: Bayesian Surface Reconstruction Using Self-Attention And Normalizing Flows,"MA, Xiaoxiao; LAGA, Hamid; SRIVASTAVA, Anuj",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_36,https://doi.org/10.1007/978-3-032-31920-3_36,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_36
441,Method,Probiou+ : Enhanced Probabilistic Iou Loss For Oriented Object Detection,"Sakas, Yasmine; Salmane, Pascal Houssam; Rivera, Josué; Danès, Patrick; Saint Pierre, Guillaume",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_38,https://doi.org/10.1007/978-3-032-31920-3_38,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_38
442,Method,Interaction-Centric Video Scene Graph Generation Via Intended Interaction Targets,"Joo, YeEun; Jung, Soon Ki",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_39,https://doi.org/10.1007/978-3-032-31920-3_39,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_39
443,Method,Yolo-Sacam: A Switchable Convolution And Attention-Based Yolo Network For Wind Turbine Blade Defects Detection,"Liu, Yi; Liu, Guiping; LIU, NA; Zhang, Yunxin; Yang, Long; Liu, Tan; Liu, Kunjie; Lu, Min; Li, Wenjing",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_43,https://doi.org/10.1007/978-3-032-31920-3_43,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_43
444,Method,Cozsr-Vad: Contextual Zero-Shot Reasoning For Video Anomaly Detection,"Wani, Mohd; Atito, Sara; Nandam, Srinivasa Rao; Kittler, Josef ; Awais, Muhammad",T2: Computer and Robot Vision,10.1007/978-3-032-31920-3_46,https://doi.org/10.1007/978-3-032-31920-3_46,https://link.springer.com/content/pdf/10.1007/978-3-032-31920-3_46
445,Method,Radial Distortion Homography Estimation From Affine-Covariant Or Orientation-Covariant Features,"Valtonen Örnhag, Marcus; Adalbjörnsson, Stefan",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_4,https://doi.org/10.1007/978-3-032-31927-2_4,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_4
446,Method,Robust 3D Human Pose Estimation From Mmwave Radar Via Spatio-Temporal Representation Learning,"Cao, Kai-Ming; Lee, Ming-Han; Hsu, Wei-Che; Wu, Kun-Ru; Lin, Hong-Dun; Xie, Ren-De; Chen, Bo-Yang; Tseng, Yu-Chee",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_15,https://doi.org/10.1007/978-3-032-31927-2_15,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_15
447,Method,Negation In Vision-Language Models: A Survey,"Pokhrel, Aashish; Ghimire, Bipin; Paudel, Prashanna Mani; Sheshappanavar, Shivanand Venkanna",T2: Computer and Robot Vision,10.1007/978-3-032-31927-2_17,https://doi.org/10.1007/978-3-032-31927-2_17,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_17
