key,title,authors,venue,year,preprint,decision,reason
vrdqasurvey2025,"Survey on Question Answering over Visually Rich Documents: Methods, Challenges, and Trends",Anonymous,arXiv preprint arXiv:2501.02235,2025,yes,included,
dong2024multipagermt,Multi-Page Document VQA with Recurrent Memory Transformer,"Dong, Qi and Kang, Lei and Karatzas, Dimosthenis",Proc. Int. Workshop Document Analysis Systems (DAS),2024,no,included,
yang2025superrag,SuperRAG: Beyond RAG with Layout-Aware Graph Modeling,"Yang, Chening and Vu, Duy-Khanh and Nguyen, Minh-Tien and Nguyen, Xuan-Quang and Nguyen, Linh and Le, Hung","Proc. Conf. North American Chapter Assoc. Comput. Linguistics (NAACL), Industry Track",2025,no,included,
dhouib2023docparser,DocParser: End-to-End OCR-free Information Extraction from Visually Rich Documents,"Dhouib, Mohamed and Bettaieb, Ghassen and Shabou, Aymen",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2023,no,included,
rightway2025,Are We on the Right Way for Assessing Document Retrieval-Augmented Generation?,Anonymous,arXiv preprint arXiv:2508.03644,2025,yes,included,
irpapers2026,irpapers: A Visual Document Benchmark for Scientific Retrieval and Question Answering,Anonymous,arXiv preprint arXiv:2602.17687,2026,yes,included,
nguyen2025serval,Serval: Surprisingly Effective Zero-Shot Visual Document Retrieval Powered by Large Vision and Language Models,"Nguyen, Thong and Lei, Yibin and Ju, Jia-Huei and Yates, Andrew",arXiv preprint arXiv:2509.15432,2025,yes,included,
mortaheb2025ragcheck,RAG-Check: Evaluating Multimodal Retrieval Augmented Generation Performance,"Mortaheb, Matin and Khojastepour, Mohammad A. Amir and Chakradhar, Srimat T. and Ulukus, Sennur",arXiv preprint arXiv:2501.03995,2025,yes,included,
liu2026textmonkey,TextMonkey: An OCR-free Large Multimodal Model for Understanding Document,"Liu, Yuliang and Yang, Biao and Liu, Qiang and Li, Zhang and Ma, Zhiyin and Zhang, Shuo and Bai, Xiang",IEEE Trans. Pattern Anal. Mach. Intell.,2026,no,included,
weivary2024,Vary: Scaling up the Vision Vocabulary for Large Vision-Language Models,"Wei, Haoran and Kong, Lingyu and Chen, Jinyue and Zhao, Liang and Ge, Zheng and Yang, Jinrong and others",Proc. Eur. Conf. Comput. Vis. (ECCV),2024,no,included,
poznanski2025olmocr,olmOCR: Unlocking Trillions of Tokens in PDFs with Vision Language Models,"Poznanski, Jake and Borchardt, Jon and Dunkelberger, Jason and Huff, Regan and Lin, Daniel and Rangapur, Aman and Wilhelm, Christopher and Lo, Kyle and Soldaini, Luca",arXiv preprint arXiv:2502.18443,2025,yes,included,
livathinos2025docling,Docling: An Efficient Open-Source Toolkit for AI-Driven Document Conversion,"Livathinos, Nikolaos and Auer, Christoph and Lysak, Maksym and Nassar, Ahmed and Dolfi, Michele and Vagenas, Panos and Ramis, Cesar Berrospi and Omenetti, Matteo and others",arXiv preprint arXiv:2501.17887,2025,yes,included,
luo2024layoutllm,LayoutLLM: Layout Instruction Tuning with Large Language Models for Document Understanding,"Luo, Chuwei and Shen, Yufan and Zhu, Zhaoqing and Zheng, Qi and Yu, Zhi and Yao, Cong",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2024,no,included,
dhulipalamuvera2024,MUVERA: Multi-Vector Retrieval via Fixed Dimensional Encoding,"Dhulipala, Laxman and Hadian, Majid and Jayaram, Rajesh and Lee, Jason and Mirrokni, Vahab",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
park2025scv,SCV: Light and Effective Multi-Vector Retrieval with Sequence Compressive Vectors,"Park, Cheoneum and Jeong, Seohyeong and Kim, Minsang and Lim, KyungTae and Lee, Yong-Hun","Proc. Int. Conf. Computational Linguistics (COLING), Industry Track",2025,no,included,
ma-etal-2025-towards-storage,Towards Storage-Efficient Visual Document Retrieval: An Empirical Study on Reducing Patch-Level Embeddings,"Ma, Yubo and Li, Jinsong and Zang, Yuhang and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
