BibKey,Title,Authors,Year,Venue,DOI,URL,CitedInPaper,Link,LinkType
xiaometaembed2026,MetaEmbed: Scaling Multimodal Retrieval at Test-Time with Flexible Late Interaction,"Xiao, Zilin and Ma, Qi and Gu, Mengting and Chen, Chun-cheng Jason and Chen, Xintao and Ordonez, Vicente and Mohan, Vijai",2026,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=yKDqg9HwZX,yes,https://openreview.net/forum?id=yKDqg9HwZX,paper
xiangwhen2026,When to Use Graphs in RAG: A Comprehensive Analysis for Graph Retrieval-Augmented Generation,"Xiang, Zhishang and Wu, Chuanjie and Zhang, Qinggang and Chen, Shengyuan and Hong, Zijin and Huang, Xiao and others",2026,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=i9q9xDMjG7,,https://openreview.net/forum?id=i9q9xDMjG7,paper
ma2024dse,Unifying Multimodal Retrieval via Document Screenshot Embedding,"Ma, Xueguang and Lin, Sheng-Chieh and Li, Minghan and Chen, Wenhu and Lin, Jimmy",2024,Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),,,yes,https://scholar.google.com/scholar?q=Unifying+Multimodal+Retrieval+via+Document+Screenshot+Embedding,Scholar search
fayssecolpali2025,ColPali: Efficient Document Retrieval with Vision Language Models,"Faysse, Manuel and Sibille, Hugues and Wu, Tony and Omrani, Bilel and Viaud, Gautier and Hudelot, Céline and others",2025,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=ogjBpZ8uSi,yes,https://openreview.net/forum?id=ogjBpZ8uSi,paper
yuvisrag2025,VisRAG: Vision-based Retrieval-augmented Generation on Multi-modality Documents,"Yu, Shi and Tang, Chaoyue and Xu, Bokai and Cui, Junbo and Ran, Junhao and Yan, Yukun and others",2025,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=zG459X3Xge,yes,https://openreview.net/forum?id=zG459X3Xge,paper
tanakavdocrag2025,VDocRAG: Retrieval-Augmented Generation over Visually-Rich Documents,"Tanaka, Ryota and Iki, Taichi and Hasegawa, Taku and Nishida, Kyosuke and Saito, Kuniko and Suzuki, Jun",2025,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),,https://openaccess.thecvf.com/content/CVPR2025/html/Tanaka_VDocRAG_Retrieval-Augmented_Generation_over_Visually-Rich_Documents_CVPR_2025_paper.html,yes,https://openaccess.thecvf.com/content/CVPR2025/html/Tanaka_VDocRAG_Retrieval-Augmented_Generation_over_Visually-Rich_Documents_CVPR_2025_paper.html,paper
chensvrag2025,SV-RAG: LoRA-Contextualizing Adaptation of MLLMs for Long Document Understanding,"Chen, Jian and Zhang, Ruiyi and Zhou, Yufan and Yu, Tong and Dernoncourt, Franck and Gu, Jiuxiang and others",2025,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=FDaHjwInXO,yes,https://openreview.net/forum?id=FDaHjwInXO,paper
cho2024m3docvqa,M3DocVQA: Multi-modal Multi-page Multi-document Understanding,"Cho, Jaemin and Mahata, Debanjan and Irsoy, Ozan and He, Yujie and Bansal, Mohit",2025,Proc. IEEE/CVF Int. Conf. Comput. Vis. Workshops (ICCVW),,https://openaccess.thecvf.com/content/ICCV2025W/Findings/html/Cho_M3DocVQA_Multi-modal_Multi-page_Multi-document_Understanding_ICCVW_2025_paper.html,yes,https://openaccess.thecvf.com/content/ICCV2025W/Findings/html/Cho_M3DocVQA_Multi-modal_Multi-page_Multi-document_Understanding_ICCVW_2025_paper.html,paper
suri2025visdom,VisDoM: Multi-Document QA with Visually Rich Elements Using Multimodal Retrieval-Augmented Generation,"Suri, Manan and Mathur, Puneet and Dernoncourt, Franck and Goswami, Kanika and Rossi, Ryan A. and Manocha, Dinesh",2025,Proc. Conf. Nations Americas Chapter Assoc. Comput. Linguistics (NAACL),,,yes,https://scholar.google.com/scholar?q=VisDoM%3A+Multi-Document+QA+with+Visually+Rich+Elements+Using+Multimodal+Retrieval-Augmented+Generation,Scholar search
wang-etal-2025-vidorag,ViDoRAG: Visual Document Retrieval-Augmented Generation via Dynamic Iterative Reasoning Agents,"Wang, Qiuchen and Ding, Ruixue and Chen, Zehui and Wu, Weiqi and Wang, Shihang and Xie, Pengjun and Zhao, Feng",2025,Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),,https://aclanthology.org/2025.emnlp-main.464/,yes,https://aclanthology.org/2025.emnlp-main.464/,paper
